,pitch_initial,pitch_pre_bout,pitch_peak,pitch_post_bout,pitch_end,pitch_max_angvel,traj_peak,spd_peak,rot_total,rot_steering,rot_righting,bout_displ,atk_ang,traj_deviation
count,62457.0,62457.0,62457.0,62457.0,62457.0,62457.0,62457.0,62457.0,62457.0,62457.0,62457.0,62457.0,62457.0,62457.0
mean,4.7910863207647125,5.261137248635063,7.80046689929074,10.442987588180701,10.892994050963184,6.401986493491588,8.917532541163272,13.023409546896454,5.651901267416022,3.0093805785259877,2.6425206888899475,1.35617980462582,1.1170656418726392,4.126446220398693
std,14.664364536414277,14.87781591016932,14.181033548423464,12.168317718733034,12.205554083982427,14.95586595525537,20.194243240272307,4.978412884961921,8.853812730441463,7.327431066054618,3.5508253543161725,0.6445518735547007,7.725885146806998,11.574190172159051
min,-61.800057,-63.345414,-52.4118,-41.694411,-42.213004,-60.968701,-89.91001302636772,5.000476933418638,-50.622543,-45.719350000000006,-15.309906,0.0,-99.35956376024072,-102.19503253934155
25%,-5.941596,-5.881271,-2.698738,1.751676,2.178991,-4.892327,-6.679634760280091,9.346883880292497,-0.031025999999999776,-1.4377080000000007,0.1267200000000024,0.9259847152125129,-3.8243715582308067,-2.8313287243585403
50%,0.77815,1.953558,6.836246,10.215813,10.775404,4.414595,6.896678543088978,12.216642633402204,5.092916,2.1489900000000013,2.711379,1.3113838678056287,0.7656806330020611,3.0783388794804614
75%,15.873254,16.230348,17.649893,18.45099,18.972231,17.119161,23.93697927351902,15.944091069499141,11.238025000000002,7.184761000000002,4.873532,1.730344020747809,5.859662833748862,10.205809917062375
max,89.741455,85.415041,86.744485,89.802175,85.22389,87.591367,89.96672602662794,54.20495998951651,47.103438000000004,41.372921000000005,21.898784,5.745306624824062,77.20287600178112,87.07677300178112
IQR,21.81485,22.111618999999997,20.348630999999997,16.699314,16.79324,22.011488,30.616614033799113,6.597207189206644,11.269051000000001,8.622469000000002,4.746811999999998,0.804359305535296,9.684034391979669,13.037138641420915
