,0,1,2,3,4,5
all_data.h5,Contains following keys,grabbed_all,epoch_attributes,baseline_angVel,heading_matched,epoch_pitch_heading_RMS
grabbed_all,"Contains raw data from dlm files, excluding Epochs with no bout detected.",,,,,
epoch_attributes,Attributes for epochs,,,,,
baseline_angVel,all baseline angular velocity,,,,,
heading_matched,heading directions,,,,,
epoch_pitch_heading_RMS,"mean pitch and heading for epoch, and RMSpitch",,,,,
bout_data.h5,Bout data including following keys,bout_attributes,prop_bout_aligned,prop_bout2,prop_bout_aligned_long,prop_bout_aligned_long2
bout_attributes,Basic bout attributes,,,,,
prop_bout_aligned,Aligned data are bouts aligned at the time of the peak speed including 500ms before and 300ms after.,,,,,
prop_bout2,one-per-bout parameters,,,,,
prop_bout_aligned_long,including bout data with 1s after the time of peak speed,,,,,
prop_bout_aligned_long2,attributes for long bouts,,,,,
IEI_data.h5,Contains inter bout data. Includes following keys,prop_bout_IEI_aligned,prop_bout_IEI2,prop_bout_IEI_timed,wolpert_IEI,
prop_bout_IEI_aligned,"inter bout data, aligned",,,,,
prop_bout_IEI2,inter bout data,,,,,
prop_bout_IEI_timed,,,,,,
wolpert_IEI,,,,,,
